9865436 4000
0 1825 10074
1 258 1825
0 56 10694
1 10 56
0 1947 10608
1 1692 1947
0 1955 10818
1 722 1955
0 510 10356
1 1221 510
0 1590 10283
1 1549 1590
0 416 10706
1 144 416
0 1115 10934
1 486 1115
0 566 10949
1 1499 566
0 453 10506
1 1816 453
0 883 10984
1 1986 883
0 1371 10409
1 50 1371
0 1271 10981
1 879 1271
0 1452 10939
1 814 1452
0 430 10938
1 481 430
0 1586 10432
1 821 1586
0 90 10222
1 111 90
0 1753 10021
1 909 1753
0 1620 10373
1 417 1620
0 1184 10556
1 876 1184
0 1636 10466
1 938 1636
0 1819 10024
1 1397 1819
0 689 10922
1 732 689
0 15 10095
1 1178 15
0 1915 10314
1 1906 1915
0 1029 10388
1 1754 1029
0 763 10329
1 1366 763
0 16 10794
1 936 16
0 1113 10643
1 1898 1113
0 1634 10560
1 95 1634
0 824 10408
1 1143 824
0 912 10997
1 1072 912
0 1187 10815
1 749 1187
0 1095 10226
1 1162 1095
0 1659 10611
1 537 1659
0 303 10746
1 609 303
0 1257 10475
1 697 1257
0 48 10678
1 224 48
0 205 10781
1 1285 205
0 1092 10709
1 990 1092
0 592 10903
1 261 592
0 1718 10878
1 1605 1718
0 1207 10537
1 349 1207
0 983 10265
1 1193 983
0 1004 10786
1 326 1004
0 1395 10087
1 1298 1395
0 875 10417
1 407 875
0 1434 10302
1 102 1434
0 1021 10297
1 1731 1021
0 534 10633
1 1255 534
0 1576 10460
1 630 1576
0 1402 10804
1 752 1402
0 1019 10843
1 1556 1019
0 446 10008
1 429 446
0 1421 10719
1 1501 1421
0 848 10081
1 942 848
0 1742 10545
1 1418 1742
0 1109 10790
1 1932 1109
0 70 10844
1 1888 70
0 1864 10775
1 1887 1864
0 1614 10380
1 658 1614
0 963 10813
1 1239 963
0 1228 10684
1 1853 1228
0 1367 10324
1 1764 1367
0 197 10774
1 434 197
0 826 10014
1 160 826
0 1199 10431
1 194 1199
0 976 10275
1 165 976
0 1309 10446
1 1153 1309
0 837 10463
1 77 837
0 1282 10751
1 127 1282
0 1481 10438
1 759 1481
0 1768 10206
1 881 1768
0 1164 10136
1 626 1164
0 346 10655
1 1033 346
0 1946 10529
1 178 1946
0 1767 10199
1 1332 1767
0 604 10042
1 804 604
0 187 10690
1 780 187
0 783 10999
1 384 783
0 86 10553
1 1663 86
0 1625 10224
1 210 1625
0 451 10201
1 1042 451
0 1177 10065
1 958 1177
0 213 10377
1 817 213
0 1869 10798
1 1409 1869
0 275 10928
1 1128 275
0 270 10260
1 156 270
0 574 10839
1 1155 574
0 41 10084
1 1369 41
0 965 10880
1 100 965
0 619 10030
1 1059 619
0 473 10079
1 1529 473
0 1992 10650
1 550 1992
0 979 10106
1 79 979
0 1729 10857
1 1375 1729
0 530 10785
1 855 530
0 1443 10375
1 1546 1443
0 1938 10227
1 61 1938
0 901 10344
1 613 901
0 803 10618
1 1002 803
0 736 10429
1 1997 736
0 957 10691
1 974 957
0 975 10992
1 1186 975
0 88 10773
1 466 88
0 437 10240
1 1990 437
0 1928 10846
1 1716 1928
0 1044 10504
1 55 1044
0 831 10361
1 1394 831
0 1677 10213
1 89 1677
0 330 10849
1 93 330
0 225 10930
1 469 225
0 721 10765
1 1711 721
0 908 10603
1 1401 908
0 335 10946
1 1292 335
0 1473 10360
1 1784 1473
0 1296 10007
1 756 1296
0 882 10865
1 293 882
0 1809 10777
1 818 1809
0 1880 10867
1 1132 1880
0 285 10944
1 230 285
0 1264 10443
1 1972 1264
0 1157 10479
1 779 1157
0 256 10964
1 931 256
0 1941 10887
1 1103 1941
0 498 10235
1 1446 498
0 667 10026
1 1479 667
0 415 10500
1 1782 415
0 1530 10172
1 113 1530
0 1360 10407
1 1097 1360
0 742 10402
1 1 742
0 1423 10382
1 62 1423
0 1702 10665
1 1154 1702
0 1777 10555
1 278 1777
0 1196 10035
1 19 1196
0 1020 10681
1 175 1020
0 1595 10547
1 1333 1595
0 1364 10575
1 1775 1364
0 833 10337
1 360 833
0 1979 10662
1 1104 1979
0 948 10256
1 1061 948
0 1330 10459
1 501 1330
0 921 10549
1 1900 921
0 1749 10522
1 43 1749
0 494 10097
1 1111 494
0 1400 10762
1 1476 1400
0 375 10810
1 1882 375
0 1422 10277
1 1734 1422
0 1337 10215
1 1996 1337
0 36 10037
1 1650 36
0 535 10336
1 1052 535
0 969 10045
1 1256 969
0 133 10848
1 211 133
0 810 10414
1 616 810
0 373 10425
1 1463 373
0 1559 10273
1 422 1559
0 1073 10728
1 491 1073
0 1954 10936
1 1377 1954
0 808 10935
1 820 808
0 1134 10685
1 477 1134
0 1833 10477
1 1698 1833
0 540 10904
1 1025 540
0 624 10111
1 1339 624
0 900 10630
1 1488 900
0 1572 10378
1 1300 1572
0 1471 10397
1 1094 1471
0 1125 10245
1 1436 1125
0 1323 10150
1 1016 1323
0 118 10722
1 1751 118
0 1789 10064
1 1846 1789
0 1788 10971
1 145 1788
0 1686 10725
1 949 1686
0 92 10955
1 383 92
0 739 10441
1 1926 739
0 264 10809
1 24 264
0 1875 10835
1 1863 1875
0 1828 10543
1 698 1828
0 1579 10292
1 1190 1579
0 1840 10230
1 864 1840
0 157 10688
1 947 157
0 1219 10902
1 1490 1219
0 8 10221
1 1635 8
0 196 10145
1 1278 196
0 1690 10376
1 263 1690
0 283 10004
1 1466 283
0 1062 10200
1 823 1062
0 316 10673
1 252 316
0 1994 10034
1 1582 1994
0 1236 10712
1 1286 1236
0 1151 10505
1 1430 1151
0 911 10509
1 917 911
0 1945 10173
1 1792 1945
0 815 10031
1 1737 815
0 119 10185
1 691 119
0 1602 10255
1 1594 1602
0 1350 10078
1 994 1350
0 1063 10083
1 1683 1063
0 255 10521
1 513 255
0 458 10269
1 1800 458
0 307 10286
1 334 307
0 961 10219
1 1031 961
0 1616 10369
1 549 1616
0 1865 10845
1 1048 1865
0 581 10242
1 940 581
0 308 10740
1 1845 308
0 189 10527
1 1412 189
0 1308 10855
1 314 1308
0 99 10542
1 1544 99
0 227 10891
1 115 227
0 1133 10812
1 1406 1133
0 575 10518
1 1003 575
0 456 10102
1 1631 456
0 1637 10670
1 163 1637
0 1894 10015
1 471 1894
0 1456 10105
1 751 1456
0 1102 10117
1 1117 1102
0 1628 10413
1 309 1628
0 1668 10693
1 1396 1668
0 1058 10533
1 585 1058
0 685 10394
1 1953 685
0 505 10190
1 775 505
0 53 10854
1 1210 53
0 1453 10041
1 1358 1453
0 1322 10748
1 776 1322
0 1281 10465
1 141 1281
0 877 10742
1 1802 877
0 1799 10177
1 1597 1799
0 1641 10994
1 1745 1641
0 1055 10526
1 967 1055
0 702 10068
1 1658 702
0 597 10223
1 887 597
0 862 10978
1 939 862
0 1512 10811
1 1921 1512
0 1761 10705
1 1703 1761
0 982 10326
1 1860 982
0 14 10071
1 898 14
0 928 10266
1 1158 928
0 1849 10018
1 1431 1849
0 631 10317
1 58 631
0 39 10134
1 679 39
0 1433 10051
1 1226 1433
0 1259 10860
1 1131 1259
0 500 10540
1 1022 500
0 953 10901
1 134 953
0 1781 10589
1 570 1781
0 1797 10692
1 357 1797
0 1368 10217
1 1653 1368
0 73 10390
1 750 73
0 1648 10346
1 847 1648
0 1575 10168
1 669 1575
0 1127 10350
1 572 1127
0 1578 10821
1 521 1578
0 1327 10220
1 929 1327
0 449 10511
1 559 449
0 1065 10144
1 785 1065
0 260 10300
1 627 260
0 789 10718
1 1783 789
0 515 10783
1 1701 515
0 843 10659
1 683 843
0 553 10795
1 11 553
0 324 10768
1 561 324
0 633 10011
1 884 633
0 504 10920
1 1295 504
0 666 10732
1 970 666
0 1208 10963
1 1568 1208
0 1461 10671
1 692 1461
0 650 10338
1 1467 650
0 1538 10989
1 1950 1538
0 850 10960
1 101 850
0 1232 10058
1 1885 1232
0 292 10171
1 164 292
0 1277 10322
1 1679 1277
0 188 10836
1 269 188
0 83 10285
1 1811 83
0 1517 10093
1 797 1517
0 1750 10975
1 108 1750
0 442 10597
1 1607 442
0 822 10758
1 1459 822
0 117 10204
1 1656 117
0 718 10325
1 1080 718
0 1269 10149
1 1093 1269
0 284 10119
1 1993 284
0 1171 10488
1 358 1171
0 1223 10236
1 798 1223
0 582 10698
1 1983 582
0 1694 10726
1 934 1694
0 202 10933
1 1866 202
0 892 10599
1 266 892
0 1912 10330
1 1939 1912
0 925 10182
1 1532 925
0 1413 10453
1 128 1413
0 1589 10667
1 999 1589
0 1326 10723
1 1824 1326
0 1966 10101
1 2 1966
0 1319 10819
1 1970 1319
0 193 10759
1 1070 193
0 82 10254
1 769 82
0 418 10469
1 526 418
0 1779 10897
1 1678 1779
0 246 10803
1 353 246
0 1213 10109
1 220 1213
0 371 10502
1 765 371
0 237 10411
1 1071 237
0 1752 10258
1 610 1752
0 1343 10323
1 1857 1343
0 495 10234
1 1355 495
0 1861 10661
