1074 80
0 25 60
1 14 25
0 13 56
1 34 13
0 26 67
1 40 26
0 20 54
1 4 20
0 21 55
1 15 21
0 32 59
1 8 32
0 11 58
1 3 11
0 24 65
1 2 24
0 17 66
1 5 17
0 28 69
1 10 28
0 6 64
1 35 6
0 33 53
1 27 33
0 31 52
1 9 31
0 19 51
1 29 19
0 36 57
1 38 36
0 16 68
1 30 16
0 22 62
1 37 22
0 12 61
1 7 12
0 1 70
1 23 1
0 18 63
1 39 18
0 1 71
0 2 9
0 3 8
0 4 2
0 5 11
0 6 83
0 7 25
0 8 4
0 9 19
0 10 13
0 11 96
0 12 99
0 13 97
0 14 1
0 15 3
0 16 99
0 17 74
0 18 91
0 19 86
0 20 85
0 21 75
0 22 99
0 23 29
0 24 77
0 25 100
0 26 85
0 27 15
0 28 91
0 29 19
0 30 20
0 31 81
0 32 94
0 33 92
0 34 1
0 35 13
0 36 81
0 37 21
0 38 19
0 39 29
0 40 1
1329 40
0 1 53
0 2 46
0 3 57
0 4 61
0 5 13
0 6 54
0 7 47
0 8 28
0 9 28
0 10 4
0 11 44
0 12 21
0 13 41
0 14 30
0 15 54
0 16 2
0 17 42
0 18 27
0 19 6
0 20 10
0 21 1
0 22 21
0 23 13
0 24 15
0 25 81
0 26 26
0 27 33
0 28 43
0 29 77
0 30 38
0 31 3
0 32 10
0 33 74
0 34 14
0 35 46
0 36 11
0 37 56
0 38 17
0 39 39
0 40 13
1001 56
0 30 62
1 22 30
0 29 76
1 26 29
0 30 70
1 12 30
0 29 84
0 25 84
1 25 29
0 30 84
0 17 84
1 17 30
0 27 69
0 36 69
1 36 27
0 11 22
0 4 22
1 4 11
0 2 87
0 8 87
1 8 2
0 1 34
0 3 31
0 4 3
0 5 59
0 6 25
0 7 4
0 8 2
0 9 64
0 10 54
0 12 11
0 13 69
0 14 6
0 15 2
0 16 80
0 17 27
0 18 18
0 19 15
0 20 20
0 21 8
0 22 4
0 23 34
0 24 8
0 25 28
0 26 10
0 28 51
0 31 28
0 32 43
0 33 67
0 34 36
0 35 60
0 36 7
0 37 24
0 38 71
0 39 21
0 40 20
331 94
0 13 40
1 35 13
0 2 56
1 16 2
0 26 49
1 1 26
0 27 28
1 14 27
0 7 48
1 25 7
0 21 47
1 9 21
0 22 82
1 15 22
0 27 47
1 20 27
0 4 65
1 12 4
0 13 76
1 17 13
0 36 78
1 30 36
0 21 85
1 24 21
0 26 68
1 31 26
0 32 78
1 33 32
0 2 85
1 29 2
0 2 90
1 11 2
0 2 94
1 10 2
0 2 95
1 5 2
0 22 89
0 11 89
1 11 22
0 32 91
0 5 91
1 5 32
0 18 83
0 5 83
1 5 18
0 8 90
0 10 90
1 10 8
0 6 71
0 29 71
1 29 6
0 38 88
0 11 88
1 11 38
0 28 71
0 33 71
1 33 28
0 37 45
0 20 45
1 20 37
0 23 43
0 9 43
1 9 23
0 3 55
0 33 55
1 33 3
0 34 45
0 15 45
1 15 34
0 1 14
0 4 71
0 5 81
0 7 63
0 9 16
0 10 77
0 11 56
0 12 46
0 13 83
0 14 20
0 15 6
0 16 13
0 17 46
0 19 89
0 20 31
0 24 62
0 25 39
0 26 71
0 27 62
0 29 63
0 30 46
0 31 66
0 33 15
0 35 9
0 36 80
846 74
0 29 51
1 20 29
0 18 82
1 19 18
0 26 59
1 28 26
0 27 51
1 39 27
0 1 73
1 9 1
0 23 75
1 11 23
0 13 62
1 36 13
0 21 79
1 8 21
0 6 88
1 2 6
0 21 96
0 35 96
1 35 21
0 13 94
0 35 94
1 35 13
0 3 88
0 35 88
1 35 3
0 24 83
0 2 83
1 2 24
0 10 82
0 35 82
1 35 10
0 30 75
0 2 75
1 2 30
0 14 64
0 8 64
1 8 14
0 33 50
0 9 50
1 9 33
0 37 72
0 35 72
1 35 37
0 2 62
0 4 64
0 5 42
0 6 93
0 7 46
0 8 37
0 9 35
0 11 61
0 12 51
0 15 54
0 16 45
0 17 29
0 18 92
0 19 37
0 20 21
0 22 38
0 23 80
0 25 52
0 26 80
0 27 87
0 28 37
0 29 73
0 31 53
0 32 64
0 34 46
0 35 22
0 36 61
0 38 86
0 39 43
1274 40
0 1 94
0 2 43
0 3 25
0 4 86
0 5 33
0 6 86
0 7 68
0 8 75
0 9 56
0 10 61
0 11 79
0 12 92
0 13 32
0 14 54
0 15 68
0 16 60
0 17 42
0 18 26
0 19 65
0 20 96
0 21 60
0 22 80
0 23 97
0 24 92
0 25 84
0 26 7
0 27 36
0 28 94
0 29 60
0 30 85
0 31 81
0 32 47
0 33 54
0 34 92
0 35 70
0 36 93
0 37 70
0 38 38
0 39 78
0 40 50
