24067 200
0 76 525
1 65 76
0 68 550
1 46 68
0 54 512
1 9 54
0 84 527
1 86 84
0 88 508
1 74 88
0 67 546
1 8 67
0 72 514
1 18 72
0 91 541
1 100 91
0 64 537
1 81 64
0 92 526
1 52 92
0 11 524
1 60 11
0 12 501
1 98 12
0 77 522
1 97 77
0 1 516
1 95 1
0 71 544
1 58 71
0 25 506
1 93 25
0 10 511
1 6 10
0 7 520
1 20 7
0 41 535
1 32 41
0 99 523
1 61 99
0 28 513
1 48 28
0 49 502
1 40 49
0 30 543
1 16 30
0 83 509
1 21 83
0 66 538
1 69 66
0 26 547
1 31 26
0 63 507
1 17 63
0 15 539
1 37 15
0 51 528
1 5 51
0 57 504
1 29 57
0 50 531
1 43 50
0 27 503
1 33 27
0 38 548
1 42 38
0 56 510
1 80 56
0 96 545
1 75 96
0 73 549
1 55 73
0 94 540
1 19 94
0 3 532
1 89 3
0 45 515
1 2 45
0 22 536
1 87 22
0 14 505
1 4 14
0 44 529
1 24 44
0 23 530
1 47 23
0 35 542
1 36 35
0 82 518
1 53 82
0 90 519
1 62 90
0 85 521
1 59 85
0 79 534
1 70 79
0 34 533
1 13 34
0 78 517
1 39 78
0 1 774
0 2 333
0 3 750
0 4 354
0 5 278
0 6 140
0 7 790
0 8 92
0 9 45
0 10 969
0 11 876
0 12 684
0 13 428
0 14 606
0 15 620
0 16 208
0 17 244
0 18 92
0 19 326
0 20 144
0 21 231
0 22 838
0 23 842
0 24 383
0 25 559
0 26 848
0 27 851
0 28 578
0 29 278
0 30 946
0 31 238
0 32 155
0 33 295
0 34 711
0 35 912
0 36 389
0 37 250
0 38 704
0 39 428
0 40 204
0 41 951
0 42 297
0 43 289
0 44 601
0 45 894
0 46 33
0 47 387
0 48 190
0 49 777
0 50 829
0 51 742
0 52 102
0 53 395
0 54 785
0 55 324
0 56 865
0 57 795
0 58 121
0 59 414
0 60 107
0 61 157
0 62 407
0 63 567
0 64 573
0 65 18
0 66 896
0 67 920
0 68 780
0 69 237
0 70 421
0 71 790
0 72 830
0 73 754
0 74 80
0 75 318
0 76 659
0 77 921
0 78 725
0 79 790
0 80 306
0 81 96
0 82 754
0 83 742
0 84 757
0 85 609
0 86 71
0 87 333
0 88 575
0 89 327
0 90 551
0 91 769
0 92 578
0 93 124
0 94 846
0 95 118
0 96 928
0 97 116
0 98 107
0 99 729
0 100 93
31673 100
0 1 357
0 2 463
0 3 48
0 4 202
0 5 212
0 6 79
0 7 77
0 8 533
0 9 437
0 10 663
0 11 153
0 12 183
0 13 14
0 14 207
0 15 9
0 16 279
0 17 123
0 18 310
0 19 689
0 20 437
0 21 212
0 22 121
0 23 871
0 24 184
0 25 544
0 26 69
0 27 234
0 28 474
0 29 774
0 30 210
0 31 212
0 32 106
0 33 50
0 34 789
0 35 215
0 36 284
0 37 481
0 38 694
0 39 653
0 40 302
0 41 224
0 42 6
0 43 55
0 44 91
0 45 129
0 46 62
0 47 169
0 48 219
0 49 161
0 50 814
0 51 38
0 52 395
0 53 448
0 54 73
0 55 201
0 56 434
0 57 402
0 58 238
0 59 119
0 60 376
0 61 86
0 62 340
0 63 499
0 64 264
0 65 284
0 66 69
0 67 244
0 68 59
0 69 530
0 70 117
0 71 482
0 72 821
0 73 136
0 74 300
0 75 536
0 76 324
0 77 79
0 78 245
0 79 127
0 80 211
0 81 590
0 82 712
0 83 199
0 84 458
0 85 731
0 86 287
0 87 263
0 88 61
0 89 17
0 90 227
0 91 788
0 92 402
0 93 540
0 94 448
0 95 206
0 96 601
0 97 299
0 98 519
0 99 514
0 100 722
22470 160
0 78 802
1 4 78
0 20 882
1 7 20
