9917847 4000
0 1445 10809
1 1635 1445
0 168 10239
1 640 168
0 1316 10277
1 183 1316
0 900 10872
1 1835 900
0 230 10356
1 1590 230
0 1970 10977
1 114 1970
0 881 10439
1 629 881
0 177 10161
1 692 177
0 179 10518
1 875 179
0 1194 10300
1 1373 1194
0 1656 10013
1 1875 1656
0 616 10171
1 1450 616
0 1126 10009
1 1425 1126
0 1134 10643
1 820 1134
0 1302 10745
1 1049 1302
0 1120 10641
1 1068 1120
0 282 10622
1 42 282
0 1820 10301
1 576 1820
0 1625 10694
1 537 1625
0 1978 10965
1 766 1978
0 1124 10827
1 1746 1124
0 1248 10386
1 1938 1248
0 674 10608
1 1207 674
0 1676 10670
1 1184 1676
0 1594 10416
1 627 1594
0 1442 10859
1 783 1442
0 742 10546
1 1919 742
0 203 10913
1 423 203
0 1185 10511
1 1598 1185
0 429 10750
1 1765 429
0 1294 10597
1 1058 1294
0 74 10992
1 1682 74
0 745 10408
1 1772 745
0 1826 10036
1 329 1826
0 1900 10551
1 1953 1900
0 1770 10549
1 1132 1770
0 218 10497
1 318 218
0 214 10794
1 859 214
0 1987 10392
1 284 1987
0 139 10056
1 1696 139
0 1312 10508
1 663 1312
0 826 10688
1 1958 826
0 420 10571
1 1326 420
0 978 10567
1 798 978
0 1146 10460
1 1497 1146
0 1588 10027
1 1482 1588
0 506 10134
1 730 506
0 234 10727
1 36 234
0 54 10920
1 62 54
0 1861 10934
1 1979 1861
0 229 10724
1 1951 229
0 1062 10922
1 1704 1062
0 1530 10907
1 1891 1530
0 662 10648
1 638 662
0 726 10756
1 1289 726
0 1374 10075
1 201 1374
0 846 10675
1 204 846
0 753 10387
1 455 753
0 264 10143
1 1806 264
0 335 10113
1 597 335
0 1424 10896
1 1251 1424
0 1745 10779
1 733 1745
0 1929 10701
1 1405 1929
0 414 10265
1 1735 414
0 838 10829
1 1188 838
0 1239 10292
1 1229 1239
0 1003 10716
1 1175 1003
0 1512 10099
1 1401 1512
0 111 10014
1 360 111
0 1110 10264
1 751 1110
0 97 10975
1 1417 97
0 711 10061
1 443 711
